Diagnosed Diabetes; Total (Total); Adults Aged 20+ Years; Crude Number; U.S. Counties; 2018,,,,,
Data downloaded on 16-May-2023,,,,,
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Bedford City,Virginia,51515,No Data,No Data,No Data
Shannon County,South Dakota,46113,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,2280,No Data,No Data,No Data
Wade Hampton Census Area,Alaska,2270,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,2232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,2201,No Data,No Data,No Data
Loving County,Texas,48301,Suppressed,Suppressed,Suppressed
Kalawao County,Hawaii,15005,11.6,6.7,17.7
King County,Texas,48269,16.9,10.1,25.9
Kenedy County,Texas,48261,24.1,13.4,38.2
Arthur County,Nebraska,31005,28,16.1,45.4
Mcpherson County,Nebraska,31117,34,19,52.7
Blaine County,Nebraska,31009,35.3,22.1,54.1
Petroleum County,Montana,30069,39,21.3,59.7
Grant County,Nebraska,31075,42.7,24.1,64.7
Clark County,Idaho,16033,47.8,26.9,77.7
Logan County,Nebraska,31113,49.5,29.9,73.7
Borden County,Texas,48033,49.7,27.9,78.2
Hooker County,Nebraska,31091,50.1,29.7,80.4
Yakutat City and Borough,Alaska,2282,52.3,32.2,79.9
Slope County,North Dakota,38087,53.6,30.5,83.2
Thomas County,Nebraska,31171,53.9,34.9,80.4
Treasure County,Montana,30103,55,33.7,83.8
Mcmullen County,Texas,48311,55.9,30.9,87.6
Banner County,Nebraska,31007,56.2,33,87.7
San Juan County,Colorado,8111,56.3,33.1,83.4
Roberts County,Texas,48393,56.6,32.8,87.1
Kent County,Texas,48263,57.4,33.2,91.1
Loup County,Nebraska,31115,57.9,35.6,90.2
Billings County,North Dakota,38007,58.3,33.9,91.3
Terrell County,Texas,48443,59.9,33.8,94.9
Golden Valley County,Montana,30037,61,36.1,95.4
Hinsdale County,Colorado,8053,61.2,33.7,97.4
Harding County,New Mexico,35021,61.2,33.3,99.6
Mineral County,Colorado,8079,62.6,35.5,96.6
Wheeler County,Nebraska,31183,64.1,38.4,96.5
Keya Paha County,Nebraska,31103,66.8,39.4,99.5
Jones County,South Dakota,46075,67.5,37.3,108.6
Skagway Municipality,Alaska,2230,67.6,38.6,109.5
Hayes County,Nebraska,31085,70,43.2,104.1
Esmeralda County,Nevada,32009,70.1,39.6,110.8
Bristol Bay Borough,Alaska,2060,71.3,43.3,104.9
Sterling County,Texas,48431,73.2,40.6,117.4
Harding County,South Dakota,46063,74.2,41.4,117.4
Greeley County,Kansas,20071,74.4,43.5,114
Glasscock County,Texas,48173,75.3,45.5,121.5
Daggett County,Utah,49009,79.2,46.4,119.7
Camas County,Idaho,16025,79.9,46.7,125.4
Wibaux County,Montana,30109,81.9,47.5,125.5
Carter County,Montana,30011,85.5,51.8,130.6
Sioux County,Nebraska,31165,86.7,53.8,127.6
Alpine County,California,6003,86.8,51.3,129.8
Prairie County,Montana,30079,88.4,50.2,140
Foard County,Texas,48155,91.4,52.5,142
Kiowa County,Colorado,8061,92.3,54.1,144.4
Hyde County,South Dakota,46069,93.5,53,142.2
Garfield County,Montana,30033,96.4,55.5,148.1
Lake and Peninsula Borough,Alaska,2164,96.7,62.4,139.1
Cottle County,Texas,48101,97.5,60,152
Issaquena County,Mississippi,28055,98.4,58.9,158.7
Wallace County,Kansas,20199,100.1,62.1,149.3
Sully County,South Dakota,46119,100.9,57.3,156.9
Irion County,Texas,48235,101.5,55.8,163.3
Stonewall County,Texas,48433,101.7,58.4,158.6
Motley County,Texas,48345,102.4,61.2,160.9
Piute County,Utah,49031,105.1,61.8,168.9
Campbell County,South Dakota,46021,105.8,57.1,170.2
Jackson County,Colorado,8057,106.4,59.8,165.6
Briscoe County,Texas,48045,107.1,60.2,166.6
Throckmorton County,Texas,48447,111.7,67.4,175
Stanton County,Kansas,20187,113.1,64.4,178.9
Rock County,Nebraska,31149,114.5,72.2,173
Lane County,Kansas,20101,115.4,69.6,181.6
Wheeler County,Oregon,41069,117,65,184.6
Dundy County,Nebraska,31057,117.6,74.7,169.4
Mccone County,Montana,30055,117.7,72.3,178.1
Denali Borough,Alaska,2068,118.4,70.2,182.7
Haakon County,South Dakota,46055,120.6,70.2,175.8
Sheridan County,North Dakota,38083,123.7,75.4,185.2
Golden Valley County,North Dakota,38033,123.8,74.8,183.8
Powder River County,Montana,30075,124.7,73.1,190.4
Cheyenne County,Colorado,8017,124.9,74,189.9
Oldham County,Texas,48359,125.4,73.3,191.2
Armstrong County,Texas,48011,127.3,74.8,203.8
Sherman County,Oregon,41055,127.5,72.6,201.1
Eureka County,Nevada,32011,131.5,76.4,212.3
Daniels County,Montana,30019,131.6,77.6,191.4
Oliver County,North Dakota,38065,132.9,77.7,201.6
Mellette County,South Dakota,46095,134.8,90.9,187.3
Buffalo County,South Dakota,46017,136.5,94.6,188.4
Comanche County,Kansas,20033,137.3,82,206.4
Burke County,North Dakota,38013,140.3,88.2,202.2
Meagher County,Montana,30059,140.6,80.6,217.8
De Baca County,New Mexico,35011,140.8,81.9,219.5
Wheatland County,Montana,30107,143.3,83.5,223.2
Robertson County,Kentucky,21201,143.8,80.7,227.9
Rich County,Utah,49033,144,88.8,220.7
Clark County,Kansas,20025,144.2,91.2,218.8
Edwards County,Texas,48137,145.4,82.8,243.9
Dickens County,Texas,48125,146,86.5,223
Taliaferro County,Georgia,13265,146.1,80.9,225.8
Hodgeman County,Kansas,20083,146.5,89.3,223.8
Gosper County,Nebraska,31073,146.6,86.9,227.4
Miner County,South Dakota,46097,147,86.6,229.8
Culberson County,Texas,48109,148.5,83.9,238
Towner County,North Dakota,38095,149.3,91.7,226.4
Gilliam County,Oregon,41021,150.7,87,233.5
Deuel County,Nebraska,31049,150.8,94.6,228.9
Garden County,Nebraska,31069,150.8,96.9,226.1
Dolores County,Colorado,8033,151.2,89,238.2
Worth County,Missouri,29227,151.7,94.2,230.9
Jerauld County,South Dakota,46073,152.9,83.6,242.8
Kidder County,North Dakota,38043,153.1,97,237.3
Divide County,North Dakota,38023,154.6,96.4,236.4
Eddy County,North Dakota,38027,154.8,97,218.6
Logan County,North Dakota,38047,155.2,96.8,227.7
Boyd County,Nebraska,31015,156.4,96.8,229.2
Garfield County,Nebraska,31071,159.3,98.3,232.8
Niobrara County,Wyoming,56027,159.8,92.8,245.6
Wayne County,Utah,49055,160.3,92.1,245.1
Cimarron County,Oklahoma,40025,161.4,93.9,248.1
Wichita County,Kansas,20203,162,105.6,240.2
Cochran County,Texas,48079,162.9,90.8,259.2
Hoonah-Angoon Census Area,Alaska,2105,165.2,94.3,261.3
Sedgwick County,Colorado,8115,165.6,98.1,262.1
Frontier County,Nebraska,31063,168.8,105.9,241.1
Sheridan County,Kansas,20179,169.7,100.6,251.1
Harmon County,Oklahoma,40057,171.2,104.1,270.7
Perkins County,Nebraska,31135,171.8,107.4,248.6
Faulk County,South Dakota,46049,172.8,103,266.5
Sherman County,Texas,48421,172.9,98.8,274
Collingsworth County,Texas,48087,173.6,102.8,277.3
Reagan County,Texas,48383,174,102.3,281.1
Menard County,Texas,48327,174.4,105.8,270.2
Schleicher County,Texas,48413,175.8,98.7,279.1
Judith Basin County,Montana,30045,176.4,103.3,260.1
Hanson County,South Dakota,46061,180.6,104,281.7
Fallon County,Montana,30025,180.7,109.4,274.9
Renville County,North Dakota,38075,181.1,120.3,262.6
Griggs County,North Dakota,38039,182.3,115.2,268.7
Hamilton County,Kansas,20075,183.2,112.6,268.1
Keweenaw County,Michigan,26083,183.2,97.2,291.5
Hettinger County,North Dakota,38041,183.4,124.5,267
Potter County,South Dakota,46107,184,110.4,291.1
Upton County,Texas,48461,184.1,106.7,287.3
Butte County,Idaho,16023,184.2,112.4,279.5
Stanley County,South Dakota,46117,184.5,110.3,291.7
Sanborn County,South Dakota,46111,185,113.7,280.8
Lincoln County,Kansas,20105,187.5,113.2,292.7
Steele County,North Dakota,38091,187.9,119.1,273.2
Rawlins County,Kansas,20153,188.6,112,289.1
Glascock County,Georgia,13125,190.1,111.1,302.7
Greeley County,Nebraska,31077,190.2,128.4,262.1
Haines Borough,Alaska,2100,191.1,118,280.9
Graham County,Kansas,20065,195.4,119.2,290.5
Mcpherson County,South Dakota,46089,195.5,112.7,297.8
Rush County,Kansas,20165,195.7,115,302.4
Lipscomb County,Texas,48295,196.3,117.6,304.3
