Obesity; Total (Total); Adults Aged 20+ Years; Crude Number; U.S. Counties; 2018,,,,,
Data downloaded on 16-May-2023,,,,,
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Bedford City,Virginia,51515,No Data,No Data,No Data
Shannon County,South Dakota,46113,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,2280,No Data,No Data,No Data
Wade Hampton Census Area,Alaska,2270,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,2232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,2201,No Data,No Data,No Data
Kalawao County,Hawaii,15005,15.8,8.5,24.3
Loving County,Texas,48301,16.3,9.2,24.5
King County,Texas,48269,38.4,22.4,60.2
Kenedy County,Texas,48261,52.4,30.1,79
Arthur County,Nebraska,31005,69.3,43.3,99.2
Mcpherson County,Nebraska,31117,72.9,43.4,108.7
Petroleum County,Montana,30069,76.6,46.4,117.3
Blaine County,Nebraska,31009,79.5,48.8,117.4
Borden County,Texas,48033,94.1,51.7,153.1
Yakutat City and Borough,Alaska,2282,96.9,54.7,149.2
Hooker County,Nebraska,31091,101.5,63.8,152.6
Treasure County,Montana,30103,105.7,63.2,163.1
Grant County,Nebraska,31075,107.4,65,156.3
Kent County,Texas,48263,108.4,58.8,170.4
Harding County,New Mexico,35021,110.2,63,171.9
Terrell County,Texas,48443,111,61.3,182.5
San Juan County,Colorado,8111,111.7,62.8,183.2
Mcmullen County,Texas,48311,111.7,58,170.5
Slope County,North Dakota,38087,112.1,62.1,175.5
Mineral County,Colorado,8079,114.6,61.6,181.8
Hinsdale County,Colorado,8053,117.6,62.2,180.8
Clark County,Idaho,16033,119.1,65.8,183.6
Loup County,Nebraska,31115,122.6,78.8,168
Keya Paha County,Nebraska,31103,122.9,76.6,176.6
Banner County,Nebraska,31007,124.3,79.5,184.4
Roberts County,Texas,48393,125.1,75.9,198.1
Logan County,Nebraska,31113,125.7,77.1,181.9
Thomas County,Nebraska,31171,126.7,84.1,175.7
Esmeralda County,Nevada,32009,126.8,72,196.5
Golden Valley County,Montana,30037,129.9,76.6,200.1
Jones County,South Dakota,46075,134.8,80.5,212.3
Wibaux County,Montana,30109,146.3,82.9,226.2
Wheeler County,Nebraska,31183,146.8,91.1,207.4
Daggett County,Utah,49009,150.8,91.7,237.7
Bristol Bay Borough,Alaska,2060,150.9,97.4,210
Alpine County,California,6003,163.5,95.9,247.5
Sterling County,Texas,48431,166.4,90.3,270.8
Motley County,Texas,48345,170.9,98.4,268.1
Foard County,Texas,48155,171.1,94.5,266.7
Billings County,North Dakota,38007,171.9,108.6,243.3
Hayes County,Nebraska,31085,172.4,114.7,235.8
Prairie County,Montana,30079,173.1,103.5,263.5
Glasscock County,Texas,48173,176.4,96.4,291.1
Hyde County,South Dakota,46069,178.6,101.5,276.6
Skagway Municipality,Alaska,2230,180,100.9,276.6
Camas County,Idaho,16025,184.5,114.7,270.3
Sioux County,Nebraska,31165,186.3,124,267.8
Cottle County,Texas,48101,190.5,109.7,305.8
Stonewall County,Texas,48433,191.1,101.8,284.1
Greeley County,Kansas,20071,191.2,116.6,288.4
Carter County,Montana,30011,193.6,116,288.5
Issaquena County,Mississippi,28055,194.5,109.4,300.8
Garfield County,Montana,30033,198.8,112.6,287
Kiowa County,Colorado,8061,201.2,114.1,313.5
Jackson County,Colorado,8057,203,114.3,312.6
Harding County,South Dakota,46063,203.1,121.6,311.3
Wheeler County,Oregon,41069,205.6,114.9,317.1
Piute County,Utah,49031,210.8,122.2,306.3
Throckmorton County,Texas,48447,214.4,118.5,324.5
Briscoe County,Texas,48045,214.5,124.3,333.8
Irion County,Texas,48235,216.1,116.2,325.6
Wallace County,Kansas,20199,229.7,137.4,348.8
Taliaferro County,Georgia,13265,233.8,127.5,368.6
Sully County,South Dakota,46119,243.6,146.1,344.7
Sheridan County,North Dakota,38083,244.3,167.8,336.2
Lane County,Kansas,20101,245.2,135.6,369.6
Sherman County,Oregon,41055,246.7,131.3,388.4
Armstrong County,Texas,48011,259.8,142.7,423.3
Edwards County,Texas,48137,269.2,157,418.4
De Baca County,New Mexico,35011,272.2,155.7,412.6
Gilliam County,Oregon,41021,274.2,149.7,419.7
Campbell County,South Dakota,46021,274.4,170.2,400
Lake and Peninsula Borough,Alaska,2164,277.2,187.2,391.1
Comanche County,Kansas,20033,278.6,183.5,403.1
Oldham County,Texas,48359,284.2,156.3,441.1
Cheyenne County,Colorado,8017,285.3,171.4,415.5
Jerauld County,South Dakota,46073,291.5,155.4,450.8
Worth County,Missouri,29227,295.5,163.6,469.7
Powder River County,Montana,30075,296.6,187.6,435.9
Eureka County,Nevada,32011,298.8,170.1,465.5
Culberson County,Texas,48109,303.8,171.4,471.2
Daniels County,Montana,30019,306.8,194.7,443.8
Dolores County,Colorado,8033,308.6,177.3,471.9
Menard County,Texas,48327,309,177.8,478.2
Dickens County,Texas,48125,310.2,180.7,476.4
Robertson County,Kentucky,21201,315,182.3,497.9
Cimarron County,Oklahoma,40025,318.1,185.6,488.9
Keweenaw County,Michigan,26083,321.7,180.7,496.3
Denali Borough,Alaska,2068,323.3,210,463.4
Haakon County,South Dakota,46055,329.2,226.7,453.4
Sedgwick County,Colorado,8115,331,183.6,499.5
Sanborn County,South Dakota,46111,332.3,192.5,512.3
Wheatland County,Montana,30107,334.5,208.4,495.8
Meagher County,Montana,30059,335.8,212.3,483.7
Quitman County,Georgia,13239,336.5,187.5,516.6
Garden County,Nebraska,31069,338.1,233.6,471.4
Miner County,South Dakota,46097,338.8,207.8,523.4
Hoonah-Angoon Census Area,Alaska,2105,339,205.4,505.1
Mccone County,Montana,30055,343.6,224.8,484.9
Rich County,Utah,49033,343.7,196.2,488.3
Wayne County,Utah,49055,347.5,207.5,511
Potter County,South Dakota,46107,349.9,197.2,531.3
Rawlins County,Kansas,20153,353.9,219.7,531.1
Webster County,Georgia,13307,357.3,209.2,532.6
Harmon County,Oklahoma,40057,358.7,197.2,587.6
Rock County,Nebraska,31149,360.5,252.8,471
Golden Valley County,North Dakota,38033,360.8,242.7,503.3
Stanton County,Kansas,20187,363.4,234.7,506
Hodgeman County,Kansas,20083,363.7,236.9,508.5
Gosper County,Nebraska,31073,365,238.1,524
Cochran County,Texas,48079,366,191.9,580.8
Sheridan County,Kansas,20179,372.1,227.5,558.6
Schleicher County,Texas,48413,377.9,210.3,598.4
Jeff Davis County,Texas,48243,379.5,212.9,628
Mcpherson County,South Dakota,46089,380.2,228.1,575
Deuel County,Nebraska,31049,381.1,262.3,517.9
Oliver County,North Dakota,38065,381.3,265.5,518.3
Buffalo County,South Dakota,46017,384.8,277.7,503
Collingsworth County,Texas,48087,389.7,213.8,604.8
Sherman County,Texas,48421,390.9,220.3,630.2
Highland County,Virginia,51091,391.6,233.8,604.9
Garfield County,Nebraska,31071,392.9,276.4,523.9
Hamilton County,Kansas,20075,400.4,246.1,590.6
Clark County,Kansas,20025,402.1,283.2,559.4
Hall County,Texas,48191,402.7,226.4,644.7
Logan County,North Dakota,38047,403.5,277.7,541.1
Elk County,Kansas,20049,412.2,260.4,604.2
Butte County,Idaho,16023,413.3,259.6,578.3
Hettinger County,North Dakota,38041,415.1,280.2,568.3
Steele County,North Dakota,38091,415.6,281.3,568.2
Liberty County,Montana,30051,418.4,225.5,620.3
Douglas County,South Dakota,46043,419.5,237.2,601.3
Glascock County,Georgia,13125,421.4,232.2,669.1
Aurora County,South Dakota,46003,422.2,239.7,650.2
Haines Borough,Alaska,2100,423.8,283.8,596.3
Stanley County,South Dakota,46117,425.7,254.9,618.2
Adams County,North Dakota,38001,427.8,276,599
Renville County,North Dakota,38075,432.1,291.1,607
Dundy County,Nebraska,31057,435.4,315.5,566.2
Petersburg Census Area,Alaska,2195,435.6,278,626.9
Niobrara County,Wyoming,56027,437.2,284.1,622.4
Wichita County,Kansas,20203,437.5,314.4,585.7
Perkins County,Nebraska,31135,437.5,315.3,593
Judith Basin County,Montana,30045,439.8,294.7,590
Reagan County,Texas,48383,440.7,250.4,707.3
Lipscomb County,Texas,48295,446.4,252.7,674.4
Hanson County,South Dakota,46061,446.5,265,683.4
Divide County,North Dakota,38023,448.1,289.7,612.5
Knox County,Texas,48275,449.2,261.6,699.3
Donley County,Texas,48129,449.5,255.5,698.2
Sierra County,California,6091,453.6,247.9,682.4
Upton County,Texas,48461,453.7,273.9,690.7
Mcintosh County,North Dakota,38051,457.2,310.6,642.5
