Access to Exercise Opportunities-Percent; NaturalBreaks,,,,,
Data downloaded on 13-May-2023,,,,,
Year,County_FIPS,County,State,Newly Diagnosed Diabetes Rate per 1000,Access to Exercise Opportunities
2018,56039,Teton County,Wyoming,1.6,96.496665727
2018,53055,San Juan County,Washington,2.1,80.867524891
2018,38043,Kidder County,North Dakota,2.5,7.2689938398
2018,39075,Holmes County,Ohio,3,26.492942454
2018,6057,Nevada County,California,3.1,67.783807865
2018,47091,Johnson County,Tennessee,3.1,100
2018,46021,Campbell County,South Dakota,3.2,No Data
2018,8027,Custer County,Colorado,3.5,91.868390129
2018,19191,Winneshiek County,Iowa,3.5,65.981193009
2018,5015,Carroll County,Arkansas,3.6,44.673176419
2018,8091,Ouray County,Colorado,3.6,52.705139766
2018,8093,Park County,Colorado,3.6,63.001357522
2018,8107,Routt County,Colorado,3.6,75.086137224
2018,30031,Gallatin County,Montana,3.6,76.39895881
2018,49043,Summit County,Utah,3.6,94.474727453
2018,12087,Monroe County,Florida,3.7,78.395129293
2018,8037,Eagle County,Colorado,3.8,96.564936682
2018,16081,Teton County,Idaho,3.8,80.157325467
2018,16085,Valley County,Idaho,3.8,66.690326506
2018,20131,Nemaha County,Kansas,3.8,34.839850658
2018,26047,Emmet County,Michigan,3.9,68.676209702
2018,30067,Park County,Montana,3.9,54.380915835
2018,35049,Santa Fe County,New Mexico,3.9,73.366164944
2018,8069,Larimer County,Colorado,4,87.395454394
2018,8087,Morgan County,Colorado,4,71.909513832
2018,8097,Pitkin County,Colorado,4,92.535572662
2018,8117,Summit County,Colorado,4,99.985711224
2018,19041,Clay County,Iowa,4,71.590568189
2018,53031,Jefferson County,Washington,4,78.655597215
2018,55063,La Crosse County,Wisconsin,4,80.954831731
2018,8007,Archuleta County,Colorado,4.1,91.88182721
2018,8035,Douglas County,Colorado,4.1,91.118350761
2018,27101,Murray County,Minnesota,4.1,48.309455587
2018,31091,Hooker County,Nebraska,4.1,6.9293478261
2018,34019,Hunterdon County,New Jersey,4.2,82.04426992
2018,49055,Wayne County,Utah,4.2,43.844492441
2018,55089,Ozaukee County,Wisconsin,4.2,85.293130389
2018,8013,Boulder County,Colorado,4.3,94.163976277
2018,8059,Jefferson County,Colorado,4.3,98.822545614
2018,8067,La Plata County,Colorado,4.3,69.978961312
2018,19093,Ida County,Iowa,4.3,70.799830724
2018,19151,Pocahontas County,Iowa,4.3,57.55129959
2018,27075,Lake County,Minnesota,4.3,59.745996687
2018,29173,Ralls County,Missouri,4.3,4.8686928297
2018,35055,Taos County,New Mexico,4.3,73.255001973
2018,37005,Alleghany County,North Carolina,4.3,16.934110264
2018,51013,Arlington County,Virginia,4.3,100
2018,56019,Johnson County,Wyoming,4.3,62.049247287
2018,6041,Marin County,California,4.4,96.354329679
2018,19089,Howard County,Iowa,4.4,70.876019235
2018,19143,Osceola County,Iowa,4.4,33.53450944
2018,21167,Mercer County,Kentucky,4.4,59.612770147
