State,County,CountyFIPS,Diagnosed,Obesity,PhysicalInactivity,Population_Aged_65_or_Older,Population_Below_Poverty,Population_Children_in_Poverty,Population_Enrolled_in_Free_or_Reduced_Lunch,Population_Food_Insecurity,Population_Minority,Population_No_Health_Insurance,Population_No_High_School_Diploma,Number_of_Primary_Care_Physicians,Newly_Diagnosed,Crowding,Unemployed,Severe_Housing_Cost_Burden,Overall_Household_Composition_&_Disability,Overall_Housing_Type_&_Transportation
Washington,Jefferson County,30103.0,55.0,105.7,101.2,0.9946,0.3962,16.6,48.246241947,13.2,0.3811,5.4,0.0468,28.0,10.1,0.2203,0.6376,13.719953165,0.2585,0.3607
Iowa,Ida County,48431.0,73.2,166.4,133.5,0.8138,0.2175,13.6,42.883548983,8.4,0.0809,3.5,0.0942,2.0,11.3,0.078,0.2745,4.8473967684,0.5046,0.1649
Minnesota,Lake County,48173.0,75.3,176.4,141.8,0.9233,0.1048,8.9,24.622030238,8.8,0.0984,4.2,0.0131,10.0,11.1,0.155,0.3121,10.760741033,0.1636,0.3095
Colorado,Douglas County,30109.0,81.9,146.3,113.2,0.0331,0.0013,2.6,11.77968097,5.8,0.5199,2.8,0.0019,244.0,10.4,0.1888,0.1245,10.268725176,0.0678,0.0376
New Mexico,Taos County,48155.0,91.4,171.1,145.4,0.8988,0.7624,26.6,90.664318067,14.0,0.9472,9.7,0.4164,29.0,24.0,0.518,0.8611,13.323770146,0.8243,0.6606
California,Marin County,46069.0,93.5,178.6,154.6,0.7599,0.0672,5.8,28.638272346,7.4,0.6788,3.5,0.1098,384.0,11.8,0.8828,0.2188,18.655032199,0.0751,0.6985
Montana,Missoula County,30033.0,96.4,198.8,184.5,0.185,0.5076,11.8,21.832372381,10.2,0.3613,6.7,0.0213,124.0,12.1,0.4056,0.2924,14.898424501,0.0287,0.6714
Wisconsin,St. Croix County,2164.0,96.7,277.2,196.1,0.1035,0.0054,4.5,21.235673824,6.5,0.1802,3.8,0.0089,45.0,16.9,0.1888,0.071,8.599479882,0.1493,0.0567
Kentucky,Mercer County,48101.0,97.5,190.5,163.5,0.4817,0.5831,18.6,54.575457546,13.5,0.3165,6.2,0.6472,5.0,14.1,0.1888,0.9054,8.8042970574,0.4136,0.1369
Missouri,Morgan County,28055.0,98.4,194.5,170.7,0.8758,0.8755,22.4,75.675675676,17.4,0.1678,20.9,0.8685,5.0,13.2,0.1888,0.2188,11.530708238,0.7794,0.5463
Missouri,Andrew County,48433.0,101.7,191.1,163.9,0.5021,0.1115,10.8,32.952973721,11.0,0.1366,5.7,0.1971,2.0,13.1,0.2964,0.1484,9.1496394231,0.2693,0.0423
Minnesota,Rice County,48345.0,102.4,170.9,167.6,0.1974,0.2312,8.9,41.337755666,7.1,0.518,4.8,0.3069,63.0,15.1,0.518,0.2054,10.50866899,0.0812,0.8723
South Dakota,Harding County,49031.0,105.1,210.8,190.4,0.4715,0.1048,14.5,24.0,8.4,0.313,6.5,0.1614,84.43614372109570,13.4,0.1888,0.0646,5.9770114943,0.0516,0.3025
Colorado,Rio Blanco County,48045.0,107.1,214.5,182.1,0.1786,0.2803,10.9,33.568075117,11.0,0.476,8.4,0.1347,10.0,15.5,0.7622,0.449,11.723570547,0.0939,0.6549
Oregon,Tillamook County,48447.0,111.7,214.4,189.4,0.9035,0.5127,15.5,47.341772152,12.7,0.4849,7.0,0.3209,19.0,15.6,0.8198,0.3838,10.097993467,0.6934,0.8612
Minnesota,Fillmore County,20101.0,115.4,245.2,224.1,0.7109,0.2497,11.2,26.775399252,8.3,0.0414,9.2,0.2413,8.0,10.3,0.4457,0.0949,8.4904541681,0.3537,0.4161
Florida,Sarasota County,41069.0,117.0,205.6,183.0,0.9962,0.1675,13.8,45.486949523,11.3,0.5084,11.0,0.1347,329.0,10.8,0.2964,0.3634,14.406237462,0.2104,0.4269
Rhode Island,Newport County,31057.0,117.6,435.4,388.3,0.7545,0.1115,13.9,31.394835577,8.6,0.453,3.8,0.0898,74.0,11.3,0.0981,0.3487,14.997922725,0.0996,0.4874
Wisconsin,Clark County,38033.0,123.8,360.8,292.6,0.3098,0.3497,21.1,53.009789627,9.3,0.2235,21.0,0.7791,8.0,10.8,0.8348,0.1245,8.9298655286,0.2681,0.7705
Iowa,Sac County,30075.0,124.7,296.6,302.6,0.8539,0.2239,14.0,48.864333947,7.6,0.1098,4.3,0.1522,6.0,10.8,0.078,0.1245,6.6303575657,0.4801,0.0236
Wisconsin,Lincoln County,8017.0,124.9,285.3,238.3,0.7249,0.1341,10.5,39.935882757,9.1,0.0856,3.8,0.2413,16.0,17.4,0.1888,0.2334,8.1652490887,0.1866,0.3082
Utah,Wasatch County,48359.0,125.4,284.2,226.4,0.0267,0.0567,6.2,29.127464879,9.4,0.5043,8.1,0.0334,17.0,13.8,0.8456,0.0159,11.738616203,0.0573,0.1646
Kansas,Rush County,48011.0,127.3,259.8,222.3,0.8933,0.1742,15.9,39.658444023,11.8,0.2085,5.4,0.4276,1.0,11.0,0.0322,0.1717,6.6811909949,0.3945,0.0258
Montana,Carbon County,32011.0,131.5,298.8,254.7,0.8956,0.1949,13.2,32.420429312,9.2,0.1585,6.9,0.0659,6.0,19.4,0.1223,0.2054,9.9333180041,0.2833,0.022
North Carolina,New Hanover County,30019.0,131.6,306.8,280.1,0.3566,0.6707,14.3,58.423330198,14.3,0.6049,9.9,0.1283,216.0,12.2,0.2964,0.6207,17.423346566,0.0707,0.6205
Montana,Jefferson County,46095.0,134.8,485.5,379.3,0.695,0.121,8.0,28.380634391,7.1,0.2426,6.1,0.0417,9.0,18.1,0.4056,0.3838,8.1182543407,0.1751,0.1328
Wisconsin,Grant County,46017.0,136.5,384.8,265.6,0.3451,0.5006,14.5,43.716690042,9.7,0.1162,6.2,0.1748,18.0,13.1,0.4056,0.1369,11.198511826,0.0417,0.6619
Minnesota,Faribault County,20033.0,137.3,278.6,253.3,0.8446,0.2854,13.6,44.819159335,9.3,0.3044,4.9,0.2232,8.0,10.2,0.0567,0.1484,8.1399317406,0.384,0.1894
Kansas,Smith County,38013.0,140.3,463.6,307.6,0.9628,0.3643,15.2,46.582733813,12.5,0.1324,8.6,0.1051,5.0,11.3,0.0172,0.1035,6.3994828701,0.4906,0.0223
New Mexico,Lincoln County,30059.0,140.6,335.8,278.4,0.9653,0.5962,28.6,83.59402155,12.3,0.7752,10.5,0.2305,9.0,14.9,0.6622,0.2924,10.674583123,0.3865,0.3301
New Mexico,Colfax County,30107.0,143.3,334.5,277.3,0.9312,0.8933,25.2,87.690432663,15.6,0.8953,6.0,0.4088,5.0,12.4,0.7622,0.9121,10.462594868,0.9312,0.9678
Minnesota,Houston County,21201.0,143.8,315.0,310.0,0.7036,0.0672,7.3,28.940763052,7.4,0.0554,4.5,0.049,10.0,20.3,0.043,0.0487,7.9275905119,0.1557,0.0872
Illinois,Lee County,49033.0,144.0,343.7,329.9,0.5441,0.2427,12.7,45.627470356,11.1,0.4394,3.6,0.433,23.0,10.3,0.2604,0.3121,9.4484629295,0.178,0.5266
Indiana,Martin County,20025.0,144.2,402.1,273.9,0.5441,0.336,14.1,49.410131853,13.1,0.022,6.5,0.6316,2.0,13.9,0.2964,0.1369,7.6787067441,0.7265,0.2178
Virginia,Fairfax County,48137.0,145.4,269.2,232.5,0.0869,0.0334,7.0,30.647924829,5.8,0.8742,8.2,0.1907,1274.0,17.8,0.8198,0.2745,12.229076953,0.0411,0.3254
Wisconsin,Walworth County,48125.0,146.0,310.2,267.3,0.3298,0.2943,9.4,38.390014011,8.3,0.4597,6.6,0.2964,41.0,22.5,0.4457,0.2745,12.233000074,0.1067,0.4285
Colorado,Kit Carson County,13265.0,146.1,233.8,204.9,0.4893,0.1949,15.5,59.633027523,9.5,0.6145,9.1,0.4562,4.0,16.4,0.078,0.3981,10.294117647,0.6902,0.4015
Wisconsin,Dane County,20083.0,146.5,363.7,238.0,0.0952,0.3061,8.6,28.56401165,7.8,0.5657,3.9,0.0201,711.0,17.3,0.4457,0.1369,12.773340258,0.0181,0.6546
Wisconsin,Marathon County,31073.0,146.6,365.0,300.1,0.3451,0.1497,7.8,34.60255555,8.6,0.3766,5.9,0.2165,133.0,13.8,0.5498,0.1717,8.8416187495,0.0914,0.2722
Nebraska,Cedar County,48109.0,148.5,303.8,258.3,0.7666,0.1341,9.5,42.586750789,9.8,0.0322,5.5,0.1522,1.0,19.0,0.043,0.0194,6.1469265367,0.3165,0.0156
Wisconsin,Washington County,38095.0,149.3,459.0,424.9,0.3664,0.0105,4.6,21.044745272,6.3,0.2337,3.8,0.0417,72.0,12.3,0.0567,0.1124,7.2843628269,0.079,0.0433
California,Placer County,41021.0,150.7,274.2,238.7,0.5635,0.0809,6.2,26.287555212,8.1,0.6536,4.0,0.049,495.0,13.9,0.5498,0.3981,14.564606742,0.1213,0.1974
Florida,Miami-Dade County,31049.0,150.8,381.1,329.8,0.2572,0.7045,19.9,67.735256853,10.3,0.9904,16.8,0.7924,2243.0,13.2,0.9545,0.6376,25.304486002,0.1388,0.8988
Wisconsin,Bayfield County,8033.0,151.2,308.6,234.0,0.9401,0.2803,17.5,50.252844501,11.0,0.476,6.5,0.0379,6.0,14.8,0.518,0.3634,9.105548236,0.2996,0.0732
South Dakota,Miner County,29227.0,151.7,295.5,262.4,0.7666,0.1341,14.6,22.625698324,8.5,0.1098,5.8,0.4852,1.0,14.9,0.5801,0.086,11.419068736,0.4225,0.092
Florida,Martin County,46073.0,152.9,291.5,273.7,0.9863,0.2175,17.3,42.354981084,11.1,0.5833,10.4,0.3069,105.0,28.5,0.4817,0.4691,14.09563541,0.2012,0.6912
Florida,Lee County,38023.0,154.6,448.1,363.0,0.9647,0.443,14.7,47.533285223,11.6,0.7151,13.3,0.4925,501.0,12.3,0.6313,0.5669,15.620909919,0.2798,0.6103
Wisconsin,Iron County,38027.0,154.8,500.9,424.9,0.9803,0.5006,17.6,49.237170596,13.5,0.0856,6.0,0.0834,3.0,13.6,0.6313,0.7726,12.386487468,0.6899,0.5256
California,Santa Barbara County,38047.0,155.2,403.5,326.3,0.185,0.5006,12.6,62.060268731,9.2,0.9039,10.0,0.8112,339.0,12.0,0.9898,0.6032,19.641755454,0.1086,0.9156
North Dakota,Lamoure County,31015.0,156.4,468.1,353.4,0.9064,0.2854,12.0,33.287101248,7.0,0.0497,3.9,0.6988,1.0,14.0,0.0134,0.0073,5.0837666089,0.1111,0.0213
Colorado,Chaffee County,56027.0,159.8,437.2,358.8,0.9035,0.1949,11.2,35.565356856,10.6,0.4718,10.0,0.1283,18.0,13.0,0.155,0.1035,13.709677419,0.2913,0.4881
Indiana,Spencer County,40025.0,161.4,318.1,301.4,0.5521,0.1497,9.3,36.509376891,11.1,0.1254,4.2,0.3384,7.0,17.0,0.155,0.2611,5.869916677,0.2203,0.1073
New York,New York County,20203.0,162.0,437.5,312.2,0.2748,0.6258,19.3,65.483893656,12.7,0.8946,5.2,0.5495,2256.0,12.1,0.9478,0.5344,19.745008584,0.0086,0.9736
Alaska,Denali Borough,48079.0,162.9,366.0,301.1,0.0022,0.6443,7.2,1.2084592145,15.1,0.5492,18.5,0.001,84.43614372109570,17.8,0.6049,0.1245,7.2135785007,0.0032,0.5536
California,Glenn County,8115.0,165.6,331.0,322.3,0.242,0.7395,17.2,69.729444835,13.6,0.8704,8.6,0.9472,4.0,11.4,0.8711,0.7092,19.51093151,0.8192,0.4871
Idaho,Blaine County,31063.0,168.8,657.0,480.5,0.419,0.443,7.7,27.561534058,8.9,0.6291,12.8,0.4629,24.0,14.0,0.3359,0.0433,13.084702908,0.3018,0.2518
Pennsylvania,Carbon County,20179.0,169.7,372.1,386.4,0.695,0.343,18.9,48.166922079,11.7,0.2716,4.2,0.3792,27.0,11.8,0.4056,0.7347,12.724382584,0.3247,0.2216
