Dentists per 100000 Population-Density; NaturalBreaks,,,,,
Data downloaded on 13-May-2023,,,,,
Year,County_FIPS,County,State,Newly Diagnosed Diabetes Rate per 1000,Dentists per 100000 Population
2018,56039,Teton County,Wyoming,1.6,93.62897
2018,53055,San Juan County,Washington,2.1,68.60279
2018,38043,Kidder County,North Dakota,2.5,No Data
2018,39075,Holmes County,Ohio,3,34.08781
2018,6057,Nevada County,California,3.1,84.33227
2018,47091,Johnson County,Tennessee,3.1,22.41022
2018,46021,Campbell County,South Dakota,3.2,No Data
2018,8027,Custer County,Colorado,3.5,No Data
2018,19191,Winneshiek County,Iowa,3.5,65.45162
2018,5015,Carroll County,Arkansas,3.6,28.29254
2018,8091,Ouray County,Colorado,3.6,119.976
2018,8093,Park County,Colorado,3.6,15.826960000000000
2018,8107,Routt County,Colorado,3.6,101.72144000000000
2018,30031,Gallatin County,Montana,3.6,67.63351
2018,49043,Summit County,Utah,3.6,51.76592
2018,12087,Monroe County,Florida,3.7,66.30582
2018,8037,Eagle County,Colorado,3.8,67.35968
2018,16081,Teton County,Idaho,3.8,47.996160000000000
2018,16085,Valley County,Idaho,3.8,50.88195
2018,20131,Nemaha County,Kansas,3.8,88.92402
2018,26047,Emmet County,Michigan,3.9,113.97037
2018,30067,Park County,Montana,3.9,65.63246
2018,35049,Santa Fe County,New Mexico,3.9,88.18923
2018,8069,Larimer County,Colorado,4,81.84714
2018,8087,Morgan County,Colorado,4,69.10611
2018,8097,Pitkin County,Colorado,4,67.06158
2018,8117,Summit County,Colorado,4,101.20466000000000
2018,19041,Clay County,Iowa,4,106.40961000000000
2018,53031,Jefferson County,Washington,4,48.92966000000000
2018,55063,La Crosse County,Wisconsin,4,95.35704
2018,8007,Archuleta County,Colorado,4.1,42.26543
2018,8035,Douglas County,Colorado,4.1,68.74567
2018,27101,Murray County,Minnesota,4.1,24.524830000000000
2018,31091,Hooker County,Nebraska,4.1,154.55951
2018,34019,Hunterdon County,New Jersey,4.2,88.14314
2018,49055,Wayne County,Utah,4.2,108.73505000000000
2018,55089,Ozaukee County,Wisconsin,4.2,99.95225
2018,8013,Boulder County,Colorado,4.3,106.67205000000000
2018,8059,Jefferson County,Colorado,4.3,97.20839
2018,8067,La Plata County,Colorado,4.3,88.39545
2018,19093,Ida County,Iowa,4.3,43.90458
2018,19151,Pocahontas County,Iowa,4.3,75.67731
2018,27075,Lake County,Minnesota,4.3,46.9969
2018,29173,Ralls County,Missouri,4.3,9.709680000000000
2018,35055,Taos County,New Mexico,4.3,52.15844
2018,37005,Alleghany County,North Carolina,4.3,17.86671
2018,51013,Arlington County,Virginia,4.3,70.79823
2018,56019,Johnson County,Wyoming,4.3,69.86493
2018,6041,Marin County,California,4.4,122.40996
2018,19089,Howard County,Iowa,4.4,21.79599
2018,19143,Osceola County,Iowa,4.4,16.702860000000000
2018,21167,Mercer County,Kentucky,4.4,22.84252
2018,29003,Andrew County,Missouri,4.4,22.745370000000000
2018,27067,Kandiyohi County,Minnesota,4.5,78.83144
2018,27131,Rice County,Minnesota,4.5,53.66406
2018,29141,Morgan County,Missouri,4.5,14.48156
2018,30011,Carter County,Montana,4.5,No Data
2018,34027,Morris County,New Jersey,4.5,116.88357
2018,34035,Somerset County,New Jersey,4.5,99.29220000000000
2018,51063,Floyd County,Virginia,4.5,19.01502
2018,55075,Marinette County,Wisconsin,4.5,47.1909
2018,8103,Rio Blanco County,Colorado,4.6,78.83948000000000
2018,12115,Sarasota County,Florida,4.6,73.06101
2018,30063,Missoula County,Montana,4.6,87.97172
2018,41003,Benton County,Oregon,4.6,71.85834
2018,41057,Tillamook County,Oregon,4.6,65.59289000000000
2018,46063,Harding County,South Dakota,4.6,No Data
2018,51079,Greene County,Virginia,4.6,9.93493
2018,55109,St. Croix County,Wisconsin,4.6,50.0882
2018,8063,Kit Carson County,Colorado,4.7,14.042970000000000
2018,13291,Union County,Georgia,4.7,31.54823
2018,16041,Franklin County,Idaho,4.7,49.243760000000000
2018,20165,Rush County,Kansas,4.7,33.932810000000000
2018,27045,Fillmore County,Minnesota,4.7,56.77786
2018,49051,Wasatch County,Utah,4.7,50.9915
2018,50001,Addison County,Vermont,4.7,51.55898
2018,51059,Fairfax County,Virginia,4.7,108.87633000000000
2018,55007,Bayfield County,Wisconsin,4.7,39.36491
2018,55025,Dane County,Wisconsin,4.7,73.29839
2018,55069,Lincoln County,Wisconsin,4.7,54.414860000000000
2018,6061,Placer County,California,4.8,103.73495000000000
2018,19071,Fremont County,Iowa,4.8,14.86105
2018,25017,Middlesex County,Massachusetts,4.8,102.46188
2018,25019,Nantucket County,Massachusetts,4.8,70.32349
2018,27043,Faribault County,Minnesota,4.8,44.114400000000000
2018,30009,Carbon County,Montana,4.8,64.09669
