Physical Inactivity; Total (Total); Adults Aged 20+ Years; Crude Number; U.S. Counties; 2018,,,,,
Data downloaded on 16-May-2023,,,,,
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Bedford City,Virginia,51515,No Data,No Data,No Data
Shannon County,South Dakota,46113,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,2280,No Data,No Data,No Data
Wade Hampton Census Area,Alaska,2270,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,2232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,2201,No Data,No Data,No Data
Loving County,Texas,48301,12.3,6.5,19.9
Kalawao County,Hawaii,15005,14.8,8.4,22.9
King County,Texas,48269,30.8,17.5,48
Kenedy County,Texas,48261,43.3,23.1,70.8
Arthur County,Nebraska,31005,54.8,29.2,87.4
Petroleum County,Montana,30069,62.7,34.5,103
Mcpherson County,Nebraska,31117,71.5,44.9,104.7
Blaine County,Nebraska,31009,73.3,42.5,107.8
Borden County,Texas,48033,79.7,46.1,126.4
Yakutat City and Borough,Alaska,2282,80.9,47.1,127.8
Hooker County,Nebraska,31091,87.1,51.4,130.3
Loup County,Nebraska,31115,89.1,55.3,128.8
San Juan County,Colorado,8111,91.9,52.1,146.8
Banner County,Nebraska,31007,92.2,57.3,135.5
Clark County,Idaho,16033,92.6,51,143.4
Mcmullen County,Texas,48311,93.2,51.6,148
Kent County,Texas,48263,94.4,53.1,150.1
Mineral County,Colorado,8079,96.2,55.9,153.2
Harding County,New Mexico,35021,97.2,54.6,154.2
Terrell County,Texas,48443,98.7,55.6,160.4
Roberts County,Texas,48393,99.7,58.6,154.7
Thomas County,Nebraska,31171,100.8,60.1,155.1
Treasure County,Montana,30103,101.2,60.1,151.2
Hinsdale County,Colorado,8053,102.9,54.1,167.9
Slope County,North Dakota,38087,108.9,61.3,163.6
Wibaux County,Montana,30109,113.2,63.7,172.2
Jones County,South Dakota,46075,114.3,64.6,180.2
Golden Valley County,Montana,30037,114.9,67,174.9
Logan County,Nebraska,31113,124.8,80.1,178.4
Grant County,Nebraska,31075,125.5,81.9,177.6
Daggett County,Utah,49009,126.3,72.1,192.3
Keya Paha County,Nebraska,31103,128.9,78.6,192.2
Esmeralda County,Nevada,32009,129.7,73.4,193.6
Billings County,North Dakota,38007,131.1,79.6,193.4
Sterling County,Texas,48431,133.5,72.2,216.6
Alpine County,California,6003,138.3,82,220.6
Glasscock County,Texas,48173,141.8,78.8,233.4
Bristol Bay Borough,Alaska,2060,143.3,91.5,220.2
Foard County,Texas,48155,145.4,81.3,227.5
Hayes County,Nebraska,31085,152.6,101,208.8
Camas County,Idaho,16025,153.7,91.6,235
Greeley County,Kansas,20071,153.8,92.8,233.4
Hyde County,South Dakota,46069,154.6,83.3,246.1
Skagway Municipality,Alaska,2230,157.1,90.6,245
Wheeler County,Nebraska,31183,157.4,106,219.3
Cottle County,Texas,48101,163.5,92.1,256.8
Stonewall County,Texas,48433,163.9,92.7,271.5
Kiowa County,Colorado,8061,164.8,99.3,257.6
Motley County,Texas,48345,167.6,91.2,265.7
Issaquena County,Mississippi,28055,170.7,99.3,277.3
Prairie County,Montana,30079,171.1,97.3,260
Jackson County,Colorado,8057,172.5,89.5,275.4
Harding County,South Dakota,46063,173.1,107,258.9
Carter County,Montana,30011,178.3,112.3,266.4
Irion County,Texas,48235,178.4,99,279.9
Briscoe County,Texas,48045,182.1,111.1,281.8
Wheeler County,Oregon,41069,183,99.5,292.7
Garfield County,Montana,30033,184.5,116.4,274.8
Sully County,South Dakota,46119,186.1,105.2,286.8
Throckmorton County,Texas,48447,189.4,105.5,294.8
Piute County,Utah,49031,190.4,124.7,287.2
Wallace County,Kansas,20199,191.2,118.1,281.1
Lake and Peninsula Borough,Alaska,2164,196.1,123.2,293.2
Taliaferro County,Georgia,13265,204.9,122,319
Campbell County,South Dakota,46021,208.7,124.3,319
Sioux County,Nebraska,31165,217.5,144.6,306.9
Armstrong County,Texas,48011,222.3,124.1,346.2
Lane County,Kansas,20101,224.1,139.6,328.8
Oldham County,Texas,48359,226.4,129.3,369
Sherman County,Oregon,41055,229,135.8,354
Edwards County,Texas,48137,232.5,130.7,369.5
Dolores County,Colorado,8033,234,131.1,352.1
Hodgeman County,Kansas,20083,238,141.1,344.9
Cheyenne County,Colorado,8017,238.3,143.7,373.2
Gilliam County,Oregon,41021,238.7,131.7,371.1
Miner County,South Dakota,46097,248.1,148.8,364.3
De Baca County,New Mexico,35011,252.3,156.6,380.8
Wayne County,Utah,49055,253,154.1,379.2
Comanche County,Kansas,20033,253.3,158.2,378
Eureka County,Nevada,32011,254.7,149.1,404.4
Judith Basin County,Montana,30045,255.6,152.8,389.9
Culberson County,Texas,48109,258.3,139.2,423.3
Worth County,Missouri,29227,262.4,143.5,412.8
Buffalo County,South Dakota,46017,265.6,182.1,356.9
Dickens County,Texas,48125,267.3,145.7,420.9
Stanton County,Kansas,20187,271.4,169.8,404.4
Jerauld County,South Dakota,46073,273.7,161.5,418
Clark County,Kansas,20025,273.9,168.6,400.4
Hoonah-Angoon Census Area,Alaska,2105,274.6,164.4,422.2
Denali Borough,Alaska,2068,274.8,180.2,387.6
Menard County,Texas,48327,275.2,155.3,436.9
Wheatland County,Montana,30107,277.3,170.4,408.8
Meagher County,Montana,30059,278.4,186,409.6
Daniels County,Montana,30019,280.1,177.9,397.1
Keweenaw County,Michigan,26083,285.8,158.2,451.5
Rock County,Nebraska,31149,287.2,206.7,379.1
Golden Valley County,North Dakota,38033,292.6,188.2,396.2
Harmon County,Oklahoma,40057,296.4,169.9,458.5
Gosper County,Nebraska,31073,300.1,183,426.3
Cochran County,Texas,48079,301.1,149.3,484.1
Mccone County,Montana,30055,301.2,200.3,423.5
Cimarron County,Oklahoma,40025,301.4,179.2,459.6
Garden County,Nebraska,31069,302.3,202,415.7
Powder River County,Montana,30075,302.6,192.5,429.2
Burke County,North Dakota,38013,307.6,208.2,430.2
Hamilton County,Kansas,20075,310,195,463.3
Robertson County,Kentucky,21201,310,179.4,476.9
Schleicher County,Texas,48413,310.9,176.3,510.4
Highland County,Virginia,51091,311.8,171.3,495.7
Wichita County,Kansas,20203,312.2,200.5,424.1
Adams County,North Dakota,38001,313.5,204.8,443.1
Sherman County,Texas,48421,315,163.4,494.1
Stanley County,South Dakota,46117,316.7,182.3,486.3
Sanborn County,South Dakota,46111,317.3,191.7,484.8
Aurora County,South Dakota,46003,317.7,168.5,486
Webster County,Georgia,13307,318.6,181.6,514.9
Rawlins County,Kansas,20153,319.4,200.3,477
Sheridan County,North Dakota,38083,320.9,230.2,433.4
Collingsworth County,Texas,48087,322,177,503.1
Sedgwick County,Colorado,8115,322.3,188.3,484
Logan County,North Dakota,38047,326.3,205.7,464.3
Faulk County,South Dakota,46049,326.8,199.6,474.7
Deuel County,Nebraska,31049,329.8,226.3,448.9
Rich County,Utah,49033,329.9,194.5,497.8
Mcpherson County,South Dakota,46089,330.8,193.5,503.9
Jeff Davis County,Texas,48243,331.1,186.3,501.6
Haakon County,South Dakota,46055,332.9,226.1,445.7
Glascock County,Georgia,13125,340.2,194.7,534.4
Griggs County,North Dakota,38039,348,227.8,495.9
Kiowa County,Kansas,20097,349.2,233.7,482.6
Haines Borough,Alaska,2100,349.3,226.2,500
Chase County,Kansas,20017,349.3,217.9,531.4
Reagan County,Texas,48383,350,205.6,563.6
Potter County,South Dakota,46107,353.1,213.2,512.7
Boyd County,Nebraska,31015,353.4,248.9,470.2
Steele County,North Dakota,38091,357.4,240,489.6
Oliver County,North Dakota,38065,357.6,252.7,485
Lipscomb County,Texas,48295,358.1,195.5,574.7
Wrangell City and Borough,Alaska,2275,358.2,214.6,520.9
Niobrara County,Wyoming,56027,358.8,228.2,513.7
Hall County,Texas,48191,359.5,198.2,572.4
Divide County,North Dakota,38023,363,237.2,526.5
Woodson County,Kansas,20207,363.6,221.5,534.9
Shackelford County,Texas,48417,364.9,216,571.9
Hettinger County,North Dakota,38041,365.4,245.8,509.5
Upton County,Texas,48461,365.9,201.8,578.6
Hanson County,South Dakota,46061,370.2,217.8,574.6
Mellette County,South Dakota,46095,379.3,294.2,464.2
Quitman County,Georgia,13239,381.7,210,600.7
Donley County,Texas,48129,382.1,223.9,596.9
Knox County,Texas,48275,383,206.6,607.8
Crockett County,Texas,48105,384.7,201.7,607.7
Hemphill County,Texas,48211,385.2,228.9,613.2
