Primary Care Physicians per 100000 Population-Density; NaturalBreaks,,,,,
Data downloaded on 13-May-2023,,,,,
Year,County_FIPS,County,State,Newly Diagnosed Diabetes Rate per 1000,Primary Care Physicians per 100000 Population
2018,56039,Teton County,Wyoming,1.6,115.06989
2018,53055,San Juan County,Washington,2.1,79.62689
2018,38043,Kidder County,North Dakota,2.5,No Data
2018,39075,Holmes County,Ohio,3,25.022750000000000
2018,6057,Nevada County,California,3.1,74.18175000000000
2018,47091,Johnson County,Tennessee,3.1,33.7306
2018,46021,Campbell County,South Dakota,3.2,No Data
2018,8027,Custer County,Colorado,3.5,19.73165
2018,19191,Winneshiek County,Iowa,3.5,110.04952
2018,5015,Carroll County,Arkansas,3.6,56.37773
2018,8091,Ouray County,Colorado,3.6,121.16317
2018,8093,Park County,Colorado,3.6,26.532240000000000
2018,8107,Routt County,Colorado,3.6,128.71519000000000
2018,30031,Gallatin County,Montana,3.6,80.39569
2018,49043,Summit County,Utah,3.6,135.24736000000000
2018,12087,Monroe County,Florida,3.7,70.05443
2018,8037,Eagle County,Colorado,3.8,76.18771000000000
2018,16081,Teton County,Idaho,3.8,32.9435
2018,16085,Valley County,Idaho,3.8,140.44944
2018,20131,Nemaha County,Kansas,3.8,97.74216
2018,26047,Emmet County,Michigan,3.9,131.67739
2018,30067,Park County,Montana,3.9,114.41648
2018,35049,Santa Fe County,New Mexico,3.9,119.0492
2018,8069,Larimer County,Colorado,4,85.45835
2018,8087,Morgan County,Colorado,4,51.60314
2018,8097,Pitkin County,Colorado,4,84.42618
2018,8117,Summit County,Colorado,4,67.71791
2018,19041,Clay County,Iowa,4,87.41259
2018,53031,Jefferson County,Washington,4,86.89985
2018,55063,La Crosse County,Wisconsin,4,144.89561
2018,8007,Archuleta County,Colorado,4.1,78.40901
2018,8035,Douglas County,Colorado,4.1,69.48518
2018,27101,Murray County,Minnesota,4.1,12.20405
2018,31091,Hooker County,Nebraska,4.1,293.25513
2018,34019,Hunterdon County,New Jersey,4.2,123.01903
2018,49055,Wayne County,Utah,4.2,36.886760000000000
2018,55089,Ozaukee County,Wisconsin,4.2,134.49748
2018,8013,Boulder County,Colorado,4.3,122.62566
2018,8059,Jefferson County,Colorado,4.3,85.7808
2018,8067,La Plata County,Colorado,4.3,122.72994
2018,19093,Ida County,Iowa,4.3,29.15452
2018,19151,Pocahontas County,Iowa,4.3,30.216040000000000
2018,27075,Lake County,Minnesota,4.3,93.97613
2018,29173,Ralls County,Missouri,4.3,9.70026
2018,35055,Taos County,New Mexico,4.3,88.62268
2018,37005,Alleghany County,North Carolina,4.3,107.74894000000000
2018,51013,Arlington County,Virginia,4.3,78.11115
2018,56019,Johnson County,Wyoming,4.3,130.25459
2018,6041,Marin County,California,4.4,148.36222
2018,19089,Howard County,Iowa,4.4,54.59707
